Min Age,Max Age,Profession,PartnerStatus,SA4 CODE,SA4 (Region name),Tot_inc_amt,Help_debt
15,19,Labourers,No,205,Latrobe - Gippsland,16402,321
15,19,Labourers,No,206,Melbourne - Inner,22518,2105
15,19,Labourers,No,207,Melbourne - Inner East,7067,0
15,19,Labourers,No,208,Melbourne - Inner South,13659,0
15,19,Labourers,No,209,Melbourne - North East,15830,2983
15,19,Labourers,No,210,Melbourne - North West,11743,728
15,19,Labourers,No,211,Melbourne - Outer East,11690,2381
15,19,Labourers,No,212,Melbourne - South East,17286,194
15,19,Labourers,No,213,Melbourne - West,19444,223
15,19,Labourers,No,214,Mornington Peninsula,19383,2131
15,19,Labourers,No,215,North West,18782,998
15,19,Labourers,No,216,Shepparton,15408,408
15,19,Labourers,No,217,Warrnambool and South West,13721,401
15,19,Labourers,No,301,Brisbane - East,18954,1613
15,19,Labourers,No,302,Brisbane - North,13871,0
15,19,Labourers,No,303,Brisbane - South,13596,2118
15,19,Labourers,No,304,Brisbane - West,18195,2373
15,19,Labourers,No,305,Brisbane Inner City,14582,3701
15,19,Labourers,No,306,Cairns,15691,259
15,19,Labourers,No,307,Darling Downs - Maranoa,17180,561
15,19,Labourers,No,308,Fitzroy,23689,317
15,19,Labourers,No,309,Gold Coast,19792,575
15,19,Labourers,No,310,Ipswich,14363,2436
15,19,Labourers,No,311,Logan - Beaudesert,16542,1103
15,19,Labourers,No,312,Mackay,15277,0
15,19,Labourers,No,313,Moreton Bay - North,19049,0
15,19,Labourers,No,314,Moreton Bay - South,10451,3100
15,19,Labourers,No,315,Queensland - Outback,21894,0
15,19,Labourers,No,316,Sunshine Coast,14003,809
15,19,Labourers,No,317,Toowoomba,21068,0
15,19,Labourers,No,318,Townsville,20485,0
15,19,Labourers,No,319,Wide Bay,16434,236
15,19,Labourers,No,401,Adelaide - Central and Hills,10799,272
15,19,Labourers,No,402,Adelaide - North,18329,447
15,19,Labourers,No,403,Adelaide - South,12384,749
15,19,Labourers,No,404,Adelaide - West,10122,465
15,19,Labourers,No,405,Barossa - Yorke - Mid North,20179,1205
15,19,Labourers,No,406,South Australia - Outback,23389,0
15,19,Labourers,No,407,South Australia - South East,27556,300
15,19,Labourers,No,501,Bunbury,21013,1068
15,19,Labourers,No,502,Mandurah,14713,0
15,19,Labourers,No,503,Perth - Inner,10254,0
