State,Year,Month,Vacancies
WA,2001,2,10500
WA,2001,5,6800
WA,2001,8,10300
WA,2001,11,6600
WA,2002,2,8500
WA,2002,5,9500
WA,2002,8,8200
WA,2002,11,7300
WA,2003,2,12000
WA,2003,5,7800
WA,2003,8,7400
WA,2003,11,9000
WA,2004,2,10200
WA,2004,5,10500
WA,2004,8,12400
WA,2004,11,13100
WA,2005,2,15300
WA,2005,5,14500
WA,2005,8,16900
WA,2005,11,15800
WA,2006,2,20600
WA,2006,5,21200
WA,2006,8,22600
WA,2006,11,23900
WA,2007,2,25000
WA,2007,5,27000
WA,2007,8,29700
WA,2007,11,32600
WA,2008,2,27100
WA,2008,5,27200
WA,2008,8,0
WA,2008,11,0
WA,2009,2,0
WA,2009,5,0
WA,2009,8,0
WA,2009,11,21800
WA,2010,2,27600
WA,2010,5,27000
WA,2010,8,28400
WA,2010,11,30300
WA,2011,2,31500
WA,2011,5,28000
WA,2011,8,32800
WA,2011,11,32500
WA,2012,2,31600
WA,2012,5,31300
WA,2012,8,37600
WA,2012,11,32400
WA,2013,2,31100
WA,2013,5,27100
WA,2013,8,24300
WA,2013,11,20900
WA,2014,2,23100
WA,2014,5,19400
WA,2014,8,23100
WA,2014,11,24200
WA,2015,2,19600
WA,2015,5,14400
WA,2015,8,20500
WA,2015,11,17300
WA,2016,2,15500
WA,2016,5,15500
TAS,1979,5,0
TAS,1979,8,0
TAS,1979,11,0
TAS,1980,2,0
TAS,1980,5,0
TAS,1980,8,0
TAS,1980,11,0
TAS,1981,2,0
TAS,1981,5,0
TAS,1981,8,0
TAS,1981,11,0
TAS,1982,2,0
TAS,1982,5,0
TAS,1982,8,0
TAS,1982,11,0
TAS,1983,2,0
TAS,1983,5,0
TAS,1983,8,0
TAS,1983,11,900
TAS,1984,2,600
TAS,1984,5,400
TAS,1984,8,900
TAS,1984,11,800
TAS,1985,2,1300
TAS,1985,5,1400
TAS,1985,8,1100
TAS,1985,11,1100
TAS,1986,2,2000
TAS,1986,5,1600
TAS,1986,8,900
TAS,1986,11,1300
TAS,1987,2,1800
TAS,1987,5,1300
TAS,1987,8,1300
TAS,1987,11,1200
TAS,1988,2,1300
TAS,1988,5,800
TAS,1988,8,700
TAS,1988,11,1200
TAS,1989,2,1600
TAS,1989,5,1100
TAS,1989,8,1000
TAS,1989,11,1700
TAS,1990,2,1500
TAS,1990,5,1200
TAS,1990,8,1200
TAS,1990,11,700
TAS,1991,2,900
TAS,1991,5,900
TAS,1991,8,700
TAS,1991,11,800
TAS,1992,2,800
TAS,1992,5,800
TAS,1992,8,900
TAS,1992,11,700
TAS,1993,2,500
TAS,1993,5,500
TAS,1993,8,700
TAS,1993,11,700
TAS,1994,2,1100
TAS,1994,5,1000
TAS,1994,8,1800
TAS,1994,11,2200
TAS,1995,2,1400
TAS,1995,5,2300
TAS,1995,8,1100
TAS,1995,11,1500
TAS,1996,2,1400
TAS,1996,5,1000
TAS,1996,8,1900
TAS,1996,11,1500
TAS,1997,2,2100
TAS,1997,5,2100
TAS,1997,8,2900
TAS,1997,11,1000
TAS,1998,2,800
TAS,1998,5,800
TAS,1998,8,1500
TAS,1998,11,900
TAS,1999,2,1500
TAS,1999,5,2500
TAS,1999,8,2000
TAS,1999,11,2700
TAS,2000,2,2100
TAS,2000,5,1600
TAS,2000,8,3100
TAS,2000,11,2300
TAS,2001,2,2600
TAS,2001,5,1700
TAS,2001,8,1400
TAS,2001,11,1800
TAS,2002,2,1500
TAS,2002,5,1700
TAS,2002,8,2200
TAS,2002,11,2100
TAS,2003,2,2100
TAS,2003,5,2000
TAS,2003,8,1900
TAS,2003,11,1600
TAS,2004,2,1400
TAS,2004,5,1700
TAS,2004,8,1400
TAS,2004,11,2100
TAS,2005,2,2600
TAS,2005,5,1900
TAS,2005,8,2200
TAS,2005,11,2300
TAS,2006,2,2100
