SA4 Code,SA4 Name,Field,Number Of People
110,New England and North West,Health,5050
111,Newcastle and Lake Macquarie,Health,13428
112,Richmond - Tweed,Health,8177
113,Riverina,Health,4127
114,Southern Highlands and Shoalhaven,Health,4127
115,Sydney - Baulkham Hills and Hawkesbury,Health,6870
116,Sydney - Blacktown,Health,7353
117,Sydney - City and Inner South,Health,8384
118,Sydney - Eastern Suburbs,Health,9739
119,Sydney - Inner South West,Health,11725
120,Sydney - Inner West,Health,9791
121,Sydney - North Sydney and Hornsby,Health,15124
122,Sydney - Northern Beaches,Health,7535
123,Sydney - Outer South West,Health,5563
124,Sydney - Outer West and Blue Mountains,Health,7931
125,Sydney - Parramatta,Health,10528
126,Sydney - Ryde,Health,5916
127,Sydney - South West,Health,6259
128,Sydney - Sutherland,Health,6459
201,Ballarat,Health,5331
202,Bendigo,Health,5413
203,Geelong,Health,9585
204,Hume,Health,5316
205,Latrobe - Gippsland,Health,7526
206,Melbourne - Inner,Health,22191
207,Melbourne - Inner East,Health,15555
208,Melbourne - Inner South,Health,14588
209,Melbourne - North East,Health,13998
210,Melbourne - North West,Health,7099
211,Melbourne - Outer East,Health,15471
212,Melbourne - South East,Health,16255
213,Melbourne - West,Health,14007
214,Mornington Peninsula,Health,8602
215,North West,Health,4410
216,Shepparton,Health,3690
217,Warrnambool and South West,Health,4151
301,Brisbane - East,Health,6149
302,Brisbane - North,Health,7291
303,Brisbane - South,Health,13020
304,Brisbane - West,Health,8077
305,Brisbane Inner City,Health,12210
306,Cairns,Health,6597
307,Darling Downs - Maranoa,Health,2856
308,Fitzroy,Health,5116
309,Gold Coast,Health,16195
310,Ipswich,Health,6545
311,Logan - Beaudesert,Health,5886
312,Mackay,Health,3734
313,Moreton Bay - North,Health,5247
314,Moreton Bay - South,Health,5461
315,Queensland - Outback,Health,1889
316,Sunshine Coast,Health,11053
317,Toowoomba,Health,4907
318,Townsville,Health,7055
319,Wide Bay,Health,6953
401,Adelaide - Central and Hills,Health,14804
402,Adelaide - North,Health,10969
403,Adelaide - South,Health,14436
404,Adelaide - West,Health,7276
405,Barossa - Yorke - Mid North,Health,3140
406,South Australia - Outback,Health,2217
407,South Australia - South East,Health,4728
501,Bunbury,Health,4510
502,Mandurah,Health,1776
503,Perth - Inner,Health,9290
504,Perth - North East,Health,5734
505,Perth - North West,Health,16705
506,Perth - South East,Health,13122
507,Perth - South West,Health,11956
508,Western Australia - Outback,Health,5164
509,Western Australia - Wheat Belt,Health,3258
601,Hobart,Health,7048
602,Launceston and North East,Health,4213
603,South East,Health,810
604,West and North West,Health,2655
701,Darwin,Health,4094
702,Northern Territory - Outback,Health,2384
801,Australian Capital Territory,Health,10868
101,Capital Region,Education,5523
102,Central Coast,Education,8083
103,Central West,Education,5514
104,Coffs Harbour - Grafton,Education,3811
105,Far West and Orana,Education,3208
106,Hunter Valley exc Newcastle,Education,5380
107,Illawarra,Education,8635
108,Mid North Coast,Education,5278
109,Murray,Education,2931
110,New England and North West,Education,5040
111,Newcastle and Lake Macquarie,Education,10583
112,Richmond - Tweed,Education,7436
113,Riverina,Education,4168
114,Southern Highlands and Shoalhaven,Education,3887
115,Sydney - Baulkham Hills and Hawkesbury,Education,7232
116,Sydney - Blacktown,Education,6246
117,Sydney - City and Inner South,Education,6153
118,Sydney - Eastern Suburbs,Education,6434
119,Sydney - Inner South West,Education,10988
120,Sydney - Inner West,Education,7709
121,Sydney - North Sydney and Hornsby,Education,11157
122,Sydney - Northern Beaches,Education,7447
123,Sydney - Outer South West,Education,6075
124,Sydney - Outer West and Blue Mountains,Education,9017
125,Sydney - Parramatta,Education,8007
126,Sydney - Ryde,Education,4942
127,Sydney - South West,Education,6094
128,Sydney - Sutherland,Education,7757
201,Ballarat,Education,4574
202,Bendigo,Education,4652
203,Geelong,Education,8083
204,Hume,Education,4619
205,Latrobe - Gippsland,Education,6930
206,Melbourne - Inner,Education,15818
207,Melbourne - Inner East,Education,10868
208,Melbourne - Inner South,Education,13105
209,Melbourne - North East,Education,12257
210,Melbourne - North West,Education,7283
211,Melbourne - Outer East,Education,14300
212,Melbourne - South East,Education,13202
213,Melbourne - West,Education,12247
214,Mornington Peninsula,Education,7557
215,North West,Education,3862
216,Shepparton,Education,3108
217,Warrnambool and South West,Education,3409
301,Brisbane - East,Education,5769
302,Brisbane - North,Education,5589
303,Brisbane - South,Education,9807
304,Brisbane - West,Education,6413
305,Brisbane Inner City,Education,7106
306,Cairns,Education,6034
307,Darling Downs - Maranoa,Education,3199
308,Fitzroy,Education,5403
309,Gold Coast,Education,12689
310,Ipswich,Education,5809
311,Logan - Beaudesert,Education,5935
312,Mackay,Education,3947
313,Moreton Bay - North,Education,4245
314,Moreton Bay - South,Education,5013
315,Queensland - Outback,Education,2074
316,Sunshine Coast,Education,9680
317,Toowoomba,Education,4453
318,Townsville,Education,5426
319,Wide Bay,Education,6861
401,Adelaide - Central and Hills,Education,9515
402,Adelaide - North,Education,6898
403,Adelaide - South,Education,9517
404,Adelaide - West,Education,5170
405,Barossa - Yorke - Mid North,Education,2544
